Latein,Deutsch,Kartei,Wortart
quis es?,Wer bist Du?; Wie heißt Du?,5,x
Ego sum,Ich bin; ich heiße,4,x
familia,die Familie,5,s
servus,der Diener; der Sklave,4,s
serva,die Dienerin; die Sklavin,4,s
dominus,der Herr; der Hausherr,4,s
domina,die Herrin; die Hausherrin,4,s
negotium,das Geschäft (machen); die Aufgabe,4,s
est,er/sie/es ist; es gibt,4,v
amicus,der Freund,4,s
et,und,4,x
amica,die Freundin,4,s
ubi,wo,4,x
non,nicht,4,x
hic,hier,4,x
properare,eilen; sich beeilen,4,v
laborare,leiden; arbeiten,4,v
clamare,(laut) rufen; schreien,4,v
sedere; sedeo; sedi,sitzen; dasitzen,4,v
gaudere,sich freuen; froh sein,4,v
sunt,sie sind; es gibt/findet statt,4,x
nam,denn ; nämlich,4,x
etiam,auch ; sogar,4,x
ibi,dort,4,x
debere,müssen; schulden,4,v
nunc,nun; jetzt,4,x
sed,aber; doch; sondern,4,x
cur?,warum?,4,x
otium,die Freizeit; die Ruhe; die Muße,4,s
forum,das Forum; der (Markt)Platz; das Stadtzentrum,4,s
nomen,der Name,4,s
lectus,das Bett; die Liege,4,s
mensa,der Tisch,4,s
cibus,die Speise; das Essen; die Nahrung,4,s
cenare,essen; speisen,4,v
vinum,der Wein,4,s
aqua,das Wasser,4,s
vocare,rufen,4,v
quid?,was?,4,x
ridere; rideo; risi,lachen; auslachen,4,v
venire; venio; veni; ventum,kommen,4,v
audire,hören; anhören,4,v
dormire,schlafen,4,v
desperare,verzweifeln; die Hoffnung aufgeben,4,v
tum,dann; darauf; da; damals,4,x
iam,schon; bereits,4,x
subito,plötzlich,4,x
imperare,befehlen; anordnen; herrschen,4,v
parere,gehorchen; folgen,4,v
cessare,zögern; sich Zeit lassen,4,v
salutare,grüßen; begrüßen,4,v
salve!,sei gegrüßt; grüß dich!,4,x
num?,etwa?,4,x
aperire; aperio; aperui,öffnen; aufmachen,4,v
intrare,betreten; eintreten,4,v
verbum,das Wort,4,s
tacere,still sein; schweigen; verschweigen,4,v
rogare,fragen; bitte (um),4,v
respondere; respondeo; respondi,antworten,4,v
docere; doceo; docui; doctum,lehren; beibringen; unterrichten,4,v
fabula,die Geschichte; die Erzähliung; das Theaterstück,4,s
laudare,loben,4,v
bene,gut,4,x
tu,du,4,x
tabula,die Tafel; das Brett,4,s
amare,lieben; germe mögen,4,v
curare,sich kümmern; soregen (für); pflegen,4,v
ego,ich,4,x
spectare,(an)schauen; betrachten,4,v
monere,mahnen; erinnern,4,v
tandem,endlich; schließlich,4,x
puella,das Mädchen,4,s
quis?,wer?,4,x
autem,aber; jedoch,4,x
semper,immer,4,x
narrare,erzählen; berichten,4,v
quaeso,ich bitte,4,v
quaesumus,wir bitten,4,v
enim,denn; nämlich,4,x
grammaticus,der Literaturlehrer,4,s
magister,der Lehrer,4,s
Romanus,der Römer,4,s
dea,die Göttin,4,s
deus,Gott,4,s
sacrum,das Opfer(tier); die Opferhandlung,4,s
ara,der Altar,4,s
templum,der Tempel,4,s
ignorare,nicht wissen ; nicht kennen,4,v
non ignorare,genau wissen,4,v
habere,haben,4,v
timere,sich fürchten; Angst haben,4,v
colere; colo; colui,bewirtschaften; bebauen; pflegen; verehren,4,v
emere; emo; emi,kaufen,4,v
vendere; vendo; vendidi; venditum,verkaufen,4,v
dicere; dico; dixi; dictum,sagen; sprechen; reden; nennen,4,v
facere; facio; feci; factum,tun; machen; ausführen,4,v
cupere; cupio; cupivi; cupitum ,wünschen; haben wolln; begehren,4,v
novem,neun,4,x
mille,tausend,4,x
nummus,die Münze,4,s
poscere; posco; poposci,fordern,4,v
tres,drei,4,x
incendere; incendo; incendi; incensum,entflammen; in Brand setzen,4,v
sex,sechs,4,x
iterum,wiederum; ein zweies mal,4,x
certe,sicher; gewiss,4,x
si,wenn; falls,4,x
theatrum,das Theater,4,s
videre; video; vidi,sehen,4,v
ludus,das Spiel; die Schule; die (zirkus)Spiele,4,s
incipere; incipio; coepi,anfangen; beginnen,4,v
filius,der Sohn,4,s
effugere; effugio; effugi,entkommen,4,v
mercator,der Händler; Kaufmann,4,s
senator,der Senator,4,s
gladiator,der Gladiator,4,s
fur,der Dieb; die Diebin,4,s
clamor,der Schrei; das Gesschrei; der Lärm,4,s
esse; sum; fui,sein,4,v
adesse; adsum,da sein; helfen,4,x
abesse; absum,fort sein; weg sein; fehlen,4,x
retinere; retineo,zurückhalten; behalten; festhalten,4,v
intus,innne; im inneren,4,x
turba,die (Menschen-)Menge; das Durcheinander; das Gedränge,4,s
amor,die Liebe,4,s
dolor,der Schmerz,4,s
vita,das Leben; die Lebensweise,4,s
bestia,das (wilde) Tier,4,s
liberi,die Kinder,4,s
porta,die Tür; das Tor; der eingang,4,s
claudere; claudo; clausi; clausum,schließen; einschließen; versprerren,4,v
non iam,nicht mehr,4,x
larva,das Gespenst,4,s
persona,die Maske; die Rolle (im Schausoiel),4,s
scaena,die Bühne,4,s
occurrere; occuro; occurri,entgegenlaufen; -treten; begegnen,4,v
curia,die Kurie; das Rathaus,4,s
orator,der Redner,4,s
flamma,die Flamme,4,s
me,mich,4,x
fugere; fugio; fugi,fliehen (vor); meiden,4,v
locus,der Ort; der Platz; die Stelle,4,s
dare; do; dedi; datum,geben,4,v
appropinquare; appropinqo, sich nähern; näher kommen,4,v
relinquere; relinquo; reliqui; relictum,verlassen; zurücklassen,4,v
agere; ago; egi,tun; handeln; verhandeln; treiben,4,v
negotia agere,Geschäft betreiben,4,x
bestiam agere,ein Tier jagen,4,x
fabulam agere,ein Theaterstück aufführen,4,x
quid agis?,wie geht es dir?,4,x
vitam agere,sein Leben verbringen,4,x
mittere; mitto; misi; missum,schicken; loslassen; laufen lassen; werfen,4,v
posse ; possum; potui,können; vermögen,4,v
nondum,noch nicht,4,x
exspectare; exspecto,warten (auf); erwarten,4,v
statim,sofort; auf der Stelle,4,x
venia,die Nachsicht; die Verzeihung,4,s
veniam dare,verzeihen,4,x
resistere; resisto; resisti,sich widersetzen; Widerstand leisten,4,v
adhuc,bis jetzt; immer noch,4,x
explicare; explico,erklären,4,v
nuper,neulich,4,x
signum,das Zeichen; das Feldzeichen,4,s
vincere; vinco; vici; victum,siegen; besiegen,4,v
praemium,die Belohnung; der Lohn; der Preis,4,s
honor,die Ehre; das Eherenamt,4,s
studere; studeo,sich bemühen; (tum) wollen; studieren,4,v
vincere studere,siegen wollen,4,x
amico studere,sich um den Freund bemühen,4,x
vix,kaum; nur mit Mühe,4,x
equus,das Pferd,4,s
frustra,vergeblich; umsonst,4,x
denique,schließlich,4,x
petere; peto; petivi; petitum,bitte; verlangen; haben wollen; streben nach; erreichen wollen; aufsuchen; angreifen,4,v
senex; senis,der alte Mann; Greis,4,s
