Latein,Deutsch,Kartei,Wortart
quis es?,Wer bist Du?; Wie heißt Du?,4,x
Ego sum,Ich bin; ich heiße,3,x
familia,die Familie,3,s
servus,der Diener; der Sklave,4,s
serva,die Dienerin; die Sklavin,3,s
dominus,der Herr; der Hausherr,3,s
domina,die Herrin; die Hausherrin,3,s
negotium,das Geschäft (machen); die Aufgabe,3,s
est,er/sie/es ist; es gibt,3,v
amicus,der Freund,4,s
et,und,4,x
amica,die Freundin,4,s
ubi,wo,4,x
non,nicht,4,x
hic,hier,4,x
properare,eilen; sich beeilen,3,v
laborare,leiden; arbeiten,4,v
clamare,(laut) rufen; schreien,4,v
sedere; sedeo; sedi,sitzen; dasitzen,4,v
gaudere,sich freuen; froh sein,4,v
sunt,sie sind; es gibt/findet statt,4,x
nam,denn ; nämlich,4,x
etiam,auch ; sogar,3,x
ibi,dort,4,x
debere,müssen; schulden,4,v
nunc,nun; jetzt,3,x
sed,aber; doch; sondern,3,x
cur?,warum?,3,x
otium,die Freizeit; die Ruhe; die Muße,3,s
forum,das Forum; der (Markt)Platz; das Stadtzentrum,3,s
nomen,der Name,3,s
lectus,das Bett; die Liege,3,s
mensa,der Tisch,3,s
cibus,die Speise; das Essen; die Nahrung,3,s
cenare,essen; speisen,3,v
vinum,der Wein,3,s
aqua,das Wasser,3,s
vocare,rufen,3,v
quid?,was?,3,x
ridere; rideo; risi,lachen; auslachen,3,v
venire; venio; veni; ventum,kommen,3,v
audire,hören; anhören,3,v
dormire,schlafen,3,v
desperare,verzweifeln; die Hoffnung aufgeben,3,v
tum,dann; darauf; da; damals,3,x
iam,schon; bereits,3,x
subito,plötzlich,3,x
imperare,befehlen; anordnen; herrschen,3,v
parere,gehorchen; folgen,3,v
cessare,zögern; sich Zeit lassen,3,v
salutare,grüßen; begrüßen,4,v
salve!,sei gegrüßt; grüß dich!,4,x
num?,etwa?,4,x
aperire; aperio; aperui,öffnen; aufmachen,4,v
intrare,betreten; eintreten,4,v
verbum,das Wort,4,s
tacere,still sein; schweigen; verschweigen,4,v
rogare,fragen; bitte (um),4,v
respondere; respondeo; respondi,antworten,4,v
docere; doceo; docui; doctum,lehren; beibringen; unterrichten,4,v
fabula,die Geschichte; die Erzähliung; das Theaterstück,4,s
laudare,loben,4,v
bene,gut,4,x
tu,du,4,x
tabula,die Tafel; das Brett,4,s
amare,lieben; germe mögen,4,v
curare,sich kümmern; soregen (für); pflegen,4,v
ego,ich,4,x
spectare,(an)schauen; betrachten,4,v
monere,mahnen; erinnern,4,v
tandem,endlich; schließlich,4,x
puella,das Mädchen,4,s
quis?,wer?,4,x
autem,aber; jedoch,4,x
semper,immer,4,x
narrare,erzählen; berichten,4,v
quaeso,ich bitte,4,v
quaesumus,wir bitten,4,v
enim,denn; nämlich,4,x
grammaticus,der Literaturlehrer,4,s
magister,der Lehrer,4,s
Romanus,der Römer,4,s
dea,die Göttin,4,s
deus,Gott,4,s
sacrum,das Opfer(tier); die Opferhandlung,4,s
ara,der Altar,4,s
templum,der Tempel,4,s
ignorare,nicht wissen ; nicht kennen,4,v
non ignorare,genau wissen,4,v
habere,haben,4,v
timere,sich fürchten; Angst haben,4,v
colere; colo; colui,bewirtschaften; bebauen; pflegen; verehren,4,v
emere; emo; emi,kaufen,4,v
vendere; vendo; vendidi; venditum,verkaufen,4,v
