Latein,Deutsch,Kartei,Wortart
quis es?,Wer bist Du?; Wie heißt Du?,3,x
Ego sum,Ich bin; ich heiße,3,x
familia,die Familie,3,s
servus,der Diener; der Sklave,3,s
serva,die Dienerin; die Sklavin,3,s
dominus,der Herr; der Hausherr,3,s
domina,die Herrin; die Hausherrin,3,s
negotium,das Geschäft (machen); die Aufgabe,3,s
est,er/sie/es ist; es gibt,3,v
amicus,der Freund,3,s
et,und,3,x
amica,die Freundin,3,s
ubi,wo,3,x
non,nicht,3,x
hic,hier,3,x
properare,eilen; sich beeilen,3,v
laborare,leiden; arbeiten,3,v
clamare,(laut) rufen; schreien,3,v
sedere; sedeo; sedi,sitzen; dasitzen,3,v
gaudere,sich freuen; froh sein,3,v
sunt,sie sind; es gibt/findet statt,3,x
nam,denn ; nämlich,3,x
etiam,auch ; sogar,3,x
ibi,dort,3,x
debere,müssen; schulden,3,v
nunc,nun; jetzt,3,x
sed,aber; doch; sondern,3,x
cur?,warum?,3,x
otium,die Freizeit; die Ruhe; die Muße,3,s
forum,das Forum; der (Markt)Platz; das Stadtzentrum,3,s
nomen,der Name,3,s
lectus,das Bett; die Liege,3,s
mensa,der Tisch,3,s
cibus,die Speise; das Essen; die Nahrung,3,s
cenare,essen; speisen,3,v
vinum,der Wein,3,s
aqua,das Wasser,3,s
vocare,rufen,3,v
quid?,was?,3,x
ridere; rideo; risi,lachen; auslachen,3,v
venire; venio; veni; ventum,kommen,3,v
audire,hören; anhören,3,v
dormire,schlafen,3,v
desperare,verzweifeln; die Hoffnung aufgeben,3,v
tum,dann; darauf; da; damals,3,x
iam,schon; bereits,3,x
subito,plötzlich,3,x
imperare,befehlen; anordnen; herrschen,3,v
parere,gehorchen; folgen,3,v
cessare,zögern; sich Zeit lassen,3,v
salutare,grüßen; begrüßen,3,v
salve!,sei gegrüßt; grüß dich!,3,x
num?,etwa?,3,x
aperire; aperio; aperui,öffnen; aufmachen,3,v
intrare,betreten; eintreten,3,v
verbum,das Wort,3,s
tacere,still sein; schweigen; verschweigen,3,v
rogare,fragen; bitte (um),3,v
respondere; respondeo; respondi,antworten,3,v
docere; doceo; docui; doctum,lehren; beibringen; unterrichten,3,v
fabula,die Geschichte; die Erzähliung; das Theaterstück,3,s
laudare,loben,3,v
bene,gut,3,x
tu,du,3,x
tabula,die Tafel; das Brett,3,s
amare,lieben; germe mögen,3,v
curare,sich kümmern; soregen (für); pflegen,3,v
ego,ich,3,x
spectare,(an)schauen; betrachten,3,v
monere,mahnen; erinnern,3,v
tandem,endlich; schließlich,3,x
puella,das Mädchen,3,s
quis?,wer?,3,x
autem,aber; jedoch,3,x
semper,immer,3,x
narrare,erzählen; berichten,3,v
quaeso,ich bitte,3,v
quaesumus,wir bitten,3,v
enim,denn; nämlich,3,x
grammaticus,der Literaturlehrer,3,s
magister,der Lehrer,3,s
Romanus,der Römer,3,s
dea,die Göttin,3,s
deus,Gott,3,s
sacrum,das Opfer(tier); die Opferhandlung,3,s
ara,der Altar,3,s
templum,der Tempel,3,s
ignorare,nicht wissen ; nicht kennen,3,v
non ignorare,genau wissen,3,v
habere,haben,3,v
timere,sich fürchten; Angst haben,3,v
colere; colo; colui,bewirtschaften; bebauen; pflegen; verehren,3,v
emere; emo; emi,kaufen,3,v
vendere; vendo; vendidi; venditum,verkaufen,3,v
dicere; dico; dixi,sagen; sprechen; reden; nennen,3,v
facere; facio; feci; factum,tun; machen; ausführen,3,v
cupere; cupio; cupivi,wünschen; haben wolln; begehren,3,v
novem,neun,3,x
mille,tausend,3,x
nummus,die Münze,3,s
poscere; posco; poposci,fordern,3,v
tres,drei,3,x
incendere; incendo; incendi,entflammen; in Brand setzen,3,v
sex,sechs,3,x
iterum,wiederum; ein zweies mal,3,x
certe,sicher; gewiss,3,x
si,wenn; falls,3,x
theatrum,das Theater,3,s
videre; video; vidi,sehen,3,v
ludus,das Spiel; die Schule; die (zirkus)Spiele,3,s
incipere; incipio; coepi,anfangen; beginnen,3,v
filius,der Sohn,3,s
effugere; effugio; effugi,entkommen,3,v
mercator,der Händler; Kaufmann,3,s
senator,der Senator,3,s
gladiator,der Gladiator,3,s
fur,der Dieb; die Diebin,3,s
clamor,der Schrei; das Gesschrei; der Lärm,3,s
esse; sum; fui,sein,3,v
adesse; adsum,da sein; helfen,3,x
abesse; absum,fort sein; weg sein; fehlen,3,x
retinere; retineo,zurückhalten; behalten; festhalten,3,v
intus,innne; im inneren,3,x
turba,die (Menschen-)Menge; das Durcheinander; das Gedränge,3,s
amor,die Liebe,3,s
dolor,der Schmerz,3,s
vita,das Leben; die Lebensweise,3,s
bestia,das (wilde) Tier,3,s
liberi,die Kinder,3,s
porta,die Tür; das Tor; der eingang,3,s
claudere; claudo; clausi; clausum,schließen; einschließen; versprerren,3,v
non iam,nicht mehr,3,x
larva,das Gespenst,3,s
persona,die Maske; die Rolle (im Schausoiel),3,s
scaena,die Bühne,3,s
occurrere; occuro; occurri,entgegenlaufen; -treten; begegnen,3,v
curia,die Kurie; das Rathaus,3,s
orator,der Redner,3,s
flamma,die Flamme,3,s
me,mich,3,x
fugere; fugio; fugi,fliehen (vor); meiden,3,v
