Latein,Deutsch,Kartei,Wortart
quis es?,Wer bist Du?; Wie heißt Du?,2,x
Ego sum,Ich bin; ich heiße,1,x
familia,die Familie,1,s
servus,der Diener; der Sklave,1,s
serva,die Dienerin; die Sklavin,1,s
dominus,der Herr; der Hausherr,1,s
domina,die Herrin; die Hausherrin,1,s
negotium,das Geschäft (machen); die Aufgabe,1,s
est,er/sie/es ist; es gibt,1,v
amicus,der Freund,1,s
et,und,1,x
amica,die Freundin,1,s
ubi,wo,1,x
non,nicht,1,x
hic,hier,1,x
properare,eilen; sich beeilen,1,v
laborare,leiden; arbeiten,1,v
clamare,(laut) rufen; schreien,1,v
sedere; sedeo; sedi,sitzen; dasitzen,1,v
gaudere,sich freuen; froh sein,1,v
sunt,sie sind; es gibt/findet statt,1,x
nam,denn ; nämlich,1,x
etiam,auch ; sogar,1,x
ibi,dort,1,x
debere,müssen; schulden,1,v
nunc,nun; jetzt,1,x
sed,aber; doch; sondern,1,x
cur?,warum?,1,x
otium,die Freizeit; die Ruhe; die Muße,1,s
forum,das Forum; der (Markt)Platz; das Stadtzentrum,1,s
nomen,der Name,1,s
lectus,das Bett; die Liege,1,s
mensa,der Tisch,1,s
cibus,die Speise; das Essen; die Nahrung,1,s
cenare,essen; speisen,1,v
vinum,der Wein,1,s
aqua,das Wasser,1,s
vocare,rufen,1,v
quid?,was?,1,x
ridere; rideo; risi,lachen; auslachen,1,v
venire; venio; veni,kommen,1,v
audire,hören; anhören,1,v
dormire,schlafen,1,v
desperare,verzweifeln; die Hoffnung aufgeben,1,v
tum,dann; darauf; da; damals,1,x
iam,schon; bereits,1,x
subito,plötzlich,1,x
imperare,befehlen; anordnen; herrschen,1,v
parere,gehorchen; folgen,1,v
cessare,zögern; sich Zeit lassen,1,v
salutare,grüßen; begrüßen,1,v
salve!,sei gegrüßt; grüß dich!,1,x
num?,etwa?,1,x
aperire; aperio; aperui,öffnen; aufmachen,1,v
intrare,betreten; eintreten,1,v
verbum,das Wort,1,s
tacere,still sein; schweigen; verschweigen,1,v
rogare,fragen; bitte (um),1,v
respondere; respondeo; respondi,antworten,1,v
docere,lehren; beibringen; unterrichten,1,v
fabula,die Geschichte; die Erzähliung; das Theaterstück,1,s
laudare,loben,1,v
bene,gut,1,x
tu,du,1,x
tabula,die Tafel; das Brett,1,s
amare,lieben; germe mögen,1,v
curare,sich kümmern; soregen (für); pflegen,1,v
ego,ich,1,x
spectare,(an)schauen; betrachten,1,v
monere,mahnen; erinnern,1,v
tandem,endlich; schließlich,1,x
puella,das Mädchen,1,s
quis?,wer?,1,x
autem,aber; jedoch,1,x
semper,immer,1,x
narrare,erzählen; berichten,1,v
quaeso,ich bitte,1,v
quaesumus,wir bitten,1,v
enim,denn; nämlich,1,x
grammaticus,der Literaturlehrer,1,s
magister,der Lehrer,1,s
Romanus,der Römer,1,s
dea,die Göttin,1,s
deus,Gott,1,s
sacrum,das Opfer(tier); die Opferhandlung,1,s
ara,der Altar,1,s
templum,der Tempel,1,s
ignorare,nicht wissen ; nicht kennen,1,v
non ignorare,genau wissen,1,v
habere,haben,1,v
timere,sich fürchten; Angst haben,1,v
colere; colo; colui,bewirtschaften; bebauen; pflegen; verehren,1,v
emere; emo; emi,kaufen,1,v
vendere; vendo; vendidi,verkaufen,1,v
dicere; dico; dixi,sagen; sprechen; reden; nennen,1,v
facere; facio; feci,tun; machen; ausführen,1,v
cupere; cupio; cupivi,wünschen; haben wolln; begehren,1,v
novem,neun,1,x
mille,tausend,1,x
nummus,die Münze,1,s
poscere; posco; poposci,fordern,1,v
tres,drei,1,x
incendere; incendo; incendi,entflammen; in Brand setzen,1,v
sex,sechs,1,x
iterum,wiederum; ein zweies mal,1,x
certe,sicher; gewiss,1,x
si,wenn; falls,1,x
theatrum,das Theater,1,s
videre; video; vidi,sehen,1,v
ludus,das Spiel; die Schule; die (zirkus)Spiele,1,s
incipere; incipio; coepi,anfangen; beginnen,1,v
filius,der Sohn,1,s
effugere; effugio; effugi,entkommen,1,v
mercator,der Händler; Kaufmann,1,s
senator,der Senator,1,s
gladiator,der Gladiator,1,s
fur,der Dieb; die Diebin,1,s
clamor,der Schrei; das Gesschrei; der Lärm,1,s
esse; sum; fui,sein,1,v
adesse; adsum,da sein; helfen,1,x
abesse; absum,fort sein; weg sein; fehlen,1,x
retinere; retineo,zurückhalten; behalten; festhalten,1,v
intus,innne; im inneren,1,x
turba,die (Menschen-)Menge; das Durcheinander; das Gedränge,1,s
amor,die Liebe,1,s
dolor,der Schmerz,1,s
vita,das Leben; die Lebensweise,1,s
bestia,das (wilde) Teir,1,s
liberi,die Kinder,1,s
porta,die Tür; das Tor; der eingang,1,s
claudere; claudo; clausi,schließen; einschließen; versprerren,1,v
non iam,nicht mehr,1,x
larva,das Gespenst,1,s
persona,die Maske; die Rolle (im Schausoiel),1,s
scaena,die Bühne,1,s
occurrere; occuro; occurri,entgegenlaufen; -treten; begegnen,1,v
curia,die Kurie; das Rathaus,1,s
orator,der Redner,1,s
flamma,die Flamme,1,s
me,mich,1,x
fugere; fugio; fugi,fliehen (vor); meiden,1,v
locus,der Ort; der Platz; die Stelle,1,s
dare; do; dedi,geben,1,v
appropinquare; appropinqo, sich nähern; näher kommen,1,v
relinquere; relinquo; reliqui,verlassen; zurücklassen,1,v
agere; ago; egi,tun; handeln; verhandeln; treiben,1,v
negotia agere,Geschäft betreiben,1,x
bestiam agere,ein Tier jagen,1,x
fabulam agere,ein Theaterstück aufführen,1,x
quid agis?,wie geht es dir?,1,x
vitam agere,sein Leben verbringen,1,x
mittere; mitto; misi,schicken; loslassen; laufen lassen; werfen,1,v
posse ; possum; potui,können; vermögen,1,v
nondum,noch nicht,1,x
exspectare; exspecto,warten (auf); erwarten,1,v
statim,sofort; auf der Stelle,1,x
venia,die Nachsicht; die Verzeihung,1,s
veniam dare,verzeihen,1,x
resistere; resisto; resisti,sich widersetzen; Widerstand leisten,1,v
adhuc,bis jetzt; immer noch,1,x
explicare; explico,erklären,2,v
nuper,neulich,2,x
signum,das Zeichen; das Feldzeichen,2,s
vincere; vinco; vici,siegen; besiegen,2,v
praemium,die Belohnung; der Lohn; der Preis,2,s
honor,die Ehre; das Eherenamt,2,s
studere; studeo,sich bemühen; (tum) wollen; studieren,2,v
vincere studere,siegen wollen,2,x
amico studere,sich um den Freund bemühen,2,x
vix,kaum; nur mit Mühe,2,x
equus,das Pferd,2,s
frustra,vergeblich; umsonst,2,x
denique,schließlich,2,x
petere; peto; petivi,bitte; verlangen; haben wollen; streben nach; erreichen wollen; aufsuchen; angreifen,2,v
senex; senis,der alte Mann; Greis,2,s
adulescens; adulescentis; adulescentium (gen. pl),der Jugendliche; der junge Mann,2,s
vox; vocis,die Stimme; das Wort,2,s
credere; credo; credidi,glauben; vertrauen,2,v
incendium,der Brand; das Feuer,1,s
auctor; auctoris,der Urheber; der Grümder; der Schriftsteller,2,s
taberna,der Laden; das Wirtshaus,1,s
forte,zufällig,1,x
intellegere; intellego; intellexi,erkennen; verstehen; einsehen,1,v
comprehendere; comprehendo; comprehendi,ergreifen; festnehmen; erfassen,1,v
