Latein,Deutsch,Kartei,Wortart
quis es?,Wer bist Du?; Wie heißt Du?,2,x
Ego sum,Ich bin; ich heiße,1,x
familia,die Familie,1,s
servus,der Diener; der Sklave,1,s
serva,die Dienerin; die Sklavin,1,s
dominus,der Herr; der Hausherr,1,s
domina,die Herrin; die Hausherrin,1,s
negotium,das Geschäft (machen); die Aufgabe,1,s
est,er/sie/es ist; es gibt,1,v
amicus,der Freund,1,s
et,und,1,x
amica,die Freundin,1,s
ubi,wo,1,x
non,nicht,1,x
hic,hier,1,x
properare,eilen; sich beeilen,1,v
laborare,leiden; arbeiten,1,v
clamare,(laut) rufen; schreien,1,v
sedere; sedeo; sedi,sitzen; dasitzen,1,v
gaudere,sich freuen; froh sein,1,v
sunt,sie sind; es gibt/findet statt,1,x
nam,denn ; nämlich,1,x
etiam,auch ; sogar,1,x
ibi,dort,1,x
debere,müssen; schulden,2,v
nunc,nun; jetzt,2,x
sed,aber; doch; sondern,2,x
cur?,warum?,2,x
otium,die Freizeit; die Ruhe; die Muße,1,s
forum,das Forum; der (Markt)Platz; das Stadtzentrum,2,s
nomen,der Name,1,s
lectus,das Bett; die Liege,1,s
mensa,der Tisch,1,s
cibus,die Speise; das Essen; die Nahrung,1,s
cenare,essen; speisen,1,v
vinum,der Wein,1,s
aqua,das Wasser,1,s
vocare,rufen,1,v
quid?,was?,1,x
ridere; rideo; risi,lachen; auslachen,1,v
venire; venio; veni,kommen,1,v
audire,hören; anhören,1,v
dormire,schlafen,1,v
desperare,verzweifeln; die Hoffnung aufgeben,1,v
tum,dann; darauf; da; damals,1,x
iam,schon; bereits,1,x
subito,plötzlich,1,x
imperare,befehlen; anordnen; herrschen,1,v
parere,gehorchen; folgen,1,v
cessare,zögern; sich Zeit lassen,1,v
salutare,grüßen; begrüßen,1,v
salve!,sei gegrüßt; grüß dich!,1,x
num?,etwa?,1,x
aperire; aperio; aperui,öffnen; aufmachen,1,v
intrare,betreten; eintreten,1,v
verbum,das Wort,1,s
tacere,still sein; schweigen; verschweigen,1,v
rogare,fragen; bitte (um),1,v
respondere; respondeo; respondi,antworten,1,v
docere,lehren; beibringen; unterrichten,1,v
fabula,die Geschichte; die Erzähliung; das Theaterstück,1,s
laudare,loben,1,v
bene,gut,2,x
tu,du,1,x
tabula,die Tafel; das Brett,2,s
amare,lieben; germe mögen,2,v
curare,sich kümmern; soregen (für); pflegen,2,v
ego,ich,2,x
spectare,(an)schauen; betrachten,1,v
monere,mahnen; erinnern,2,v
tandem,endlich; schließlich,2,x
puella,das Mädchen,2,s
quis?,wer?,2,x
autem,aber; jedoch,2,x
semper,immer,2,x
narrare,erzählen; berichten,2,v
quaeso,ich bitte,2,v
quaesumus,wir bitten,2,v
enim,denn; nämlich,2,x
grammaticus,der Literaturlehrer,2,s
magister,der Lehrer,2,s
Romanus,der Römer,2,s
dea,die Göttin,2,s
deus,Gott,2,s
sacrum,das Opfer(tier); die Opferhandlung,2,s
ara,der Altar,2,s
templum,der Tempel,2,s
ignorare,nicht wissen ; nicht kennen,1,v
non ignorare,genau wissen,2,v
habere,haben,2,v
timere,sich fürchten; Angst haben,2,v
colere; colo; colui,bewirtschaften; bebauen; pflegen; verehren,2,v
emere; emo; emi,kaufen,2,v
vendere; vendo; vendidi,verkaufen,2,v
dicere; dico; dixi,sagen; sprechen; reden; nennen,2,v
facere; facio; feci,tun; machen; ausführen,2,v
cupere; cupio; cupivi,wünschen; haben wolln; begehren,2,v
novem,neun,2,x
mille,tausend,2,x
nummus,die Münze,2,s
poscere; posco; poposci,fordern,2,v
tres,drei,2,x
incendere; incendo; incendi,entflammen; in Brand setzen,2,v
sex,sechs,2,x
iterum,wiederum; ein zweies mal,2,x
certe,sicher; gewiss,2,x
si,wenn; falls,2,x
theatrum,das Theater,2,s
videre; video; vidi,sehen,2,v
ludus,das Spiel; die Schule; die (zirkus)Spiele,2,s
incipere; incipio; coepi,anfangen; beginnen,1,v
filius,der Sohn,2,s
effugere; effugio; effugi,entkommen,2,v
mercator,der Händler; Kaufmann,2,s
senator,der Senator,2,s
gladiator,der Gladiator,2,s
fur,der Dieb; die Diebin,2,s
clamor,der Schrei; das Gesschrei; der Lärm,2,s
esse; sum; fui,sein,2,v
adesse; adsum,da sein; helfen,2,x
abesse; absum,fort sein; weg sein; fehlen,2,x
retinere; retineo,zurückhalten; behalten; festhalten,2,v
intus,innne; im inneren,2,x
turba,die (Menschen-)Menge; das Durcheinander; das Gedränge,2,s
amor,die Liebe,2,s
dolor,der Schmerz,2,s
vita,das Leben; die Lebensweise,2,s
bestia,das (wilde) Tier,2,s
liberi,die Kinder,2,s
porta,die Tür; das Tor; der eingang,2,s
claudere; claudo; clausi,schließen; einschließen; versprerren,2,v
non iam,nicht mehr,2,x
larva,das Gespenst,2,s
persona,die Maske; die Rolle (im Schausoiel),2,s
scaena,die Bühne,2,s
occurrere; occuro; occurri,entgegenlaufen; -treten; begegnen,2,v
curia,die Kurie; das Rathaus,2,s
orator,der Redner,2,s
flamma,die Flamme,2,s
me,mich,2,x
fugere; fugio; fugi,fliehen (vor); meiden,2,v
locus,der Ort; der Platz; die Stelle,2,s
dare; do; dedi,geben,2,v
appropinquare; appropinqo, sich nähern; näher kommen,2,v
relinquere; relinquo; reliqui,verlassen; zurücklassen,2,v
agere; ago; egi,tun; handeln; verhandeln; treiben,2,v
negotia agere,Geschäft betreiben,2,x
bestiam agere,ein Tier jagen,2,x
fabulam agere,ein Theaterstück aufführen,2,x
quid agis?,wie geht es dir?,2,x
vitam agere,sein Leben verbringen,2,x
mittere; mitto; misi,schicken; loslassen; laufen lassen; werfen,2,v
posse ; possum; potui,können; vermögen,2,v
nondum,noch nicht,2,x
exspectare; exspecto,warten (auf); erwarten,2,v
statim,sofort; auf der Stelle,2,x
venia,die Nachsicht; die Verzeihung,2,s
veniam dare,verzeihen,2,x
resistere; resisto; resisti,sich widersetzen; Widerstand leisten,2,v
adhuc,bis jetzt; immer noch,2,x
explicare; explico,erklären,2,v
nuper,neulich,2,x
signum,das Zeichen; das Feldzeichen,2,s
vincere; vinco; vici,siegen; besiegen,2,v
praemium,die Belohnung; der Lohn; der Preis,2,s
honor,die Ehre; das Eherenamt,2,s
studere; studeo,sich bemühen; (tum) wollen; studieren,2,v
vincere studere,siegen wollen,2,x
amico studere,sich um den Freund bemühen,2,x
vix,kaum; nur mit Mühe,2,x
equus,das Pferd,2,s
frustra,vergeblich; umsonst,2,x
denique,schließlich,2,x
petere; peto; petivi,bitte; verlangen; haben wollen; streben nach; erreichen wollen; aufsuchen; angreifen,2,v
senex; senis,der alte Mann; Greis,2,s
adulescens; adulescentis; adulescentium (gen. pl),der Jugendliche; der junge Mann,2,s
vox; vocis,die Stimme; das Wort,2,s
credere; credo; credidi,glauben; vertrauen,2,v
incendium,der Brand; das Feuer,2,s
auctor; auctoris,der Urheber; der Grümder; der Schriftsteller,2,s
taberna,der Laden; das Wirtshaus,2,s
forte,zufällig,2,x
intellegere; intellego; intellexi,erkennen; verstehen; einsehen,2,v
comprehendere; comprehendo; comprehendi,ergreifen; festnehmen; erfassen,2,v
